ix;id;sci;de;en;minConfidence
194;CalAlp0;Calidris alpina;Alpenstrandläufer;Dunlin;
195;LarMar0;Larus marinus;Mantelmöwe;Great Black-backed Gull;
196;PyrPyr1;Pyrrhocorax pyrrhocorax;Alpenkrähe;Red-billed Chough;
197;MelCal0;Melanocorypha calandra;Kalanderlerche;Calandra Lark;
198;PleNiv0;Plectrophenax nivalis;Schneeammer;Snow Bunting;
199;EmbPus0;Emberiza pusilla;Zwergammer;Little Bunting;
200;AytFer0;Aythya ferina;Tafelente;Common Pochard;
201;AnaStr0;Anas strepera;Schnatterente;Gadwall;
202;StePar0;Sterna paradisaea;Küstenseeschwalbe;Arctic Tern;
203;AreInt0;Arenaria interpres;Steinwälzer;Ruddy Turnstone;
204;ChlNig0;Chlidonias niger;Trauerseeschwalbe;Black Tern;
205;LarFus0;Larus fuscus;Heringsmöwe;Lesser Black-backed Gull;
206;PhyBor0;Phylloscopus borealis;Wanderlaubsänger;Arctic Warbler;
207;ChlLeu0;Chlidonias leucopterus;Weißflügel-Seeschwalbe;White-winged Tern;
208;MonSol0;Monticola solitarius;Blaumerle;Blue Rock Thrush;
209;CarCit0;Carduelis citrinella;Zitronenzeisig;Citril Finch;
210;ThaSan0;Thalasseus sandvicensis;Brandseeschwalbe;Sandwich Tern;
211;AnaQue0;Anas querquedula;Knäkente;Garganey;
212;HalAlb0;Haliaeetus albicilla;Seeadler;White-tailed Eagle;
213;SylCon0;Sylvia conspicillata;Brillengrasmücke;Spectacled Warbler;
214;SomMol0;Somateria mollissima;Eiderente;Common Eider;
215;GalThe0;Galerida theklae;Theklalerche;Thekla Lark;
216;AcrPal1;Acrocephalus paludicola;Seggenrohrsänger;Aquatic Warbler;
217;PorPus0;Porzana pusilla;Zwergsumpfhuhn;Baillon's Crake;
218;LarCac0;Larus cachinnans;Steppenmöwe;Caspian Gull;
219;ChaAle0;Charadrius alexandrinus;Seeregenpfeifer;Kentish Plover;
220;AccNis0;Accipiter nisus;Sperber;Eurasian Sparrowhawk;
221;MilMig0;Milvus migrans;Schwarzmilan;Black Kite;
222;PyrGra0;Pyrrhocorax graculus;Alpendohle;Alpine Chough;
223;CalBra0;Calandrella brachydactyla;Kurzzehenlerche;Greater Short-toed Lark;
224;ClaHye0;Clangula hyemalis;Eisente;Long-tailed Duck;
225;AcrMel0;Acrocephalus melanopogon;Mariskenrohrsänger;Moustached Warbler;
226;TetUro0;Tetrao urogallus;Auerhuhn;Western Capercaillie;
227;AloAeg0;Alopochen aegyptiaca;Nilgans;Egyptian Goose;
228;GavArc0;Gavia arctica;Prachttaucher;Black-throated Loon;
229;PhoRos0;Phoenicopterus roseus;Rosaflamingo;Greater Flamingo;
230;BubSca0;Bubo scandiacus;Schneeeule;Snowy Owl;
231;FalPer0;Falco peregrinus;Wanderfalke;Peregrine Falcon;
